"flight_info_id","airline","arrive_time","departure_date","departure_time","route_id"
60109,티웨이항공,"23:35","2024-01-14","20:20",0
60110,제주항공,"00:30","2024-01-14","21:20",0
60111,베트남항공,"13:55","2024-01-14","10:45",0
60112,대한항공,"21:45","2024-01-14","18:30",0
60113,대한항공,"14:15","2024-01-14","11:10",0
60114,아시아나항공,"21:50","2024-01-14","18:45",0
60115,비엣젯항공,"09:20","2024-01-15","06:15",0
60116,비엣젯항공,"01:45","2024-01-15","22:40",0
60117,티웨이항공,"10:55","2024-01-15","07:45",0
60118,제주항공,"00:30","2024-01-15","21:20",0
60119,이스타항공,"23:45","2024-01-15","20:55",0
60120,티웨이항공,"23:35","2024-01-15","20:20",0
60121,비엣젯항공,"10:05","2024-01-15","07:00",0
60122,진에어,"00:25","2024-01-15","21:10",0
60123,에어서울,"23:30","2024-01-15","20:50",0
60124,제주항공,"13:45","2024-01-15","10:40",0
60125,티웨이항공,"22:35","2024-01-15","19:25",0
60126,베트남항공,"13:55","2024-01-15","10:45",0
60127,대한항공,"14:15","2024-01-15","11:10",0
60128,아시아나항공,"21:50","2024-01-15","18:45",0
60129,대한항공,"21:45","2024-01-15","18:30",0
60130,비엣젯항공,"01:45","2024-01-16","22:40",0
60131,비엣젯항공,"10:05","2024-01-16","07:00",0
60132,비엣젯항공,"09:20","2024-01-16","06:15",0
60133,한에어,"09:20","2024-01-16","06:15",0
60134,한에어,"10:05","2024-01-16","07:00",0
60135,이스타항공,"23:45","2024-01-16","20:55",0
60136,진에어,"00:25","2024-01-16","21:10",0
60137,티웨이항공,"22:35","2024-01-16","19:25",0
60138,티웨이항공,"23:35","2024-01-16","20:20",0
60139,베트남항공,"13:55","2024-01-16","10:45",0
60140,티웨이항공,"10:55","2024-01-16","07:45",0
60141,아시아나항공,"21:50","2024-01-16","18:45",0
60142,대한항공,"14:15","2024-01-16","11:10",0
60143,대한항공,"21:45","2024-01-16","18:30",0
60144,제주항공,"00:30","2024-01-16","21:20",0
60145,제주항공,"14:45","2024-01-16","11:40",0
60146,비엣젯항공,"01:45","2024-01-17","22:40",0
60147,비엣젯항공,"09:20","2024-01-17","06:15",0
60148,비엣젯항공,"10:05","2024-01-17","07:00",0
60149,이스타항공,"01:30","2024-01-17","22:50",0
60150,티웨이항공,"23:35","2024-01-17","20:20",0
60151,티웨이항공,"22:35","2024-01-17","19:25",0
60152,에어서울,"23:30","2024-01-17","20:50",0
60153,제주항공,"00:30","2024-01-17","21:20",0
60154,이스타항공,"23:45","2024-01-17","20:55",0
60155,진에어,"00:25","2024-01-17","21:10",0
60156,티웨이항공,"10:55","2024-01-17","07:45",0
60157,제주항공,"13:45","2024-01-17","10:40",0
60158,베트남항공,"13:55","2024-01-17","10:45",0
60159,아시아나항공,"21:50","2024-01-17","18:45",0
60160,대한항공,"21:45","2024-01-17","18:30",0
60161,대한항공,"14:15","2024-01-17","11:10",0
60162,비엣젯항공,"01:45","2024-01-18","22:40",0
60163,비엣젯항공,"09:20","2024-01-18","06:15",0
60164,비엣젯항공,"10:05","2024-01-18","07:00",0
60165,이스타항공,"23:45","2024-01-18","20:55",0
60166,에어서울,"23:30","2024-01-18","20:50",0
60167,진에어,"00:25","2024-01-18","21:10",0
60168,티웨이항공,"23:35","2024-01-18","20:20",0
60169,티웨이항공,"22:35","2024-01-18","19:25",0
60170,티웨이항공,"10:55","2024-01-18","07:45",0
60171,제주항공,"14:45","2024-01-18","11:40",0
60172,베트남항공,"13:55","2024-01-18","10:45",0
60173,아시아나항공,"21:50","2024-01-18","18:45",0
60174,대한항공,"14:15","2024-01-18","11:10",0
60175,대한항공,"21:45","2024-01-18","18:30",0
60176,비엣젯항공,"09:20","2024-01-19","06:15",0
60177,비엣젯항공,"10:05","2024-01-19","07:00",0
60178,비엣젯항공,"01:45","2024-01-19","22:40",0
60179,티웨이항공,"23:35","2024-01-19","20:20",0
60180,티웨이항공,"22:35","2024-01-19","19:25",0
60181,에어서울,"23:30","2024-01-19","20:50",0
60182,진에어,"00:25","2024-01-19","21:10",0
60183,티웨이항공,"10:55","2024-01-19","07:45",0
60184,제주항공,"00:30","2024-01-19","21:20",0
60185,제주항공,"13:45","2024-01-19","10:40",0
60186,이스타항공,"23:45","2024-01-19","20:55",0
60187,대한항공,"21:45","2024-01-19","18:30",0
60188,대한항공,"14:15","2024-01-19","11:10",0
60189,아시아나항공,"21:50","2024-01-19","18:45",0
60190,베트남항공,"13:55","2024-01-19","10:45",0
60191,비엣젯항공,"01:45","2024-01-20","22:40",0
60192,비엣젯항공,"09:20","2024-01-20","06:15",0
60193,이스타항공,"01:30","2024-01-20","22:50",0
60194,비엣젯항공,"10:05","2024-01-20","07:00",0
60195,이스타항공,"23:45","2024-01-20","20:55",0
60196,에어서울,"23:30","2024-01-20","20:50",0
60197,티웨이항공,"23:35","2024-01-20","20:20",0
60198,진에어,"00:25","2024-01-20","21:10",0
60199,티웨이항공,"10:55","2024-01-20","07:45",0
60200,티웨이항공,"22:35","2024-01-20","19:25",0
60201,제주항공,"14:45","2024-01-20","11:40",0
60202,베트남항공,"13:55","2024-01-20","10:45",0
60203,제주항공,"00:30","2024-01-20","21:20",0
60204,대한항공,"14:15","2024-01-20","11:10",0
60205,아시아나항공,"21:50","2024-01-20","18:45",0
60206,대한항공,"21:45","2024-01-20","18:30",0
60207,비엣젯항공,"10:05","2024-01-21","07:00",0
60208,비엣젯항공,"01:45","2024-01-21","22:40",0
60209,비엣젯항공,"09:20","2024-01-21","06:15",0
60210,이스타항공,"23:45","2024-01-21","20:55",0
60211,진에어,"00:25","2024-01-21","21:10",0
60212,제주항공,"00:30","2024-01-21","21:20",0
60213,티웨이항공,"10:55","2024-01-21","07:45",0
60214,티웨이항공,"23:35","2024-01-21","20:20",0
60215,에어서울,"23:30","2024-01-21","20:50",0
60216,티웨이항공,"22:35","2024-01-21","19:25",0
60217,베트남항공,"13:55","2024-01-21","10:45",0
60218,아시아나항공,"21:50","2024-01-21","18:45",0
60219,제주항공,"13:45","2024-01-21","10:40",0
60220,대한항공,"14:15","2024-01-21","11:10",0
60221,대한항공,"21:45","2024-01-21","18:30",0
60222,대한항공,"13:55","2024-01-21","10:45",0
60223,비엣젯항공,"01:45","2024-01-22","22:40",0
60224,티웨이항공,"23:35","2024-01-22","20:20",0
60225,비엣젯항공,"09:20","2024-01-22","06:15",0
60226,비엣젯항공,"10:05","2024-01-22","07:00",0
60227,한에어,"01:45","2024-01-22","22:40",0
60228,이스타항공,"23:45","2024-01-22","20:55",0
60229,진에어,"00:25","2024-01-22","21:10",0
60230,티웨이항공,"22:35","2024-01-22","19:25",0
60231,에어서울,"23:30","2024-01-22","20:50",0
60232,티웨이항공,"10:55","2024-01-22","07:45",0
60233,아시아나항공,"21:50","2024-01-22","18:45",0
60234,베트남항공,"13:55","2024-01-22","10:45",0
60235,제주항공,"13:45","2024-01-22","10:40",0
60236,제주항공,"00:30","2024-01-22","21:20",0
60237,대한항공,"14:15","2024-01-22","11:10",0
60238,대한항공,"13:55","2024-01-22","10:45",0
60239,대한항공,"21:45","2024-01-22","18:30",0
60240,비엣젯항공,"01:45","2024-01-23","22:40",0
60241,비엣젯항공,"09:20","2024-01-23","06:15",0
60242,티웨이항공,"23:35","2024-01-23","20:20",0
60243,비엣젯항공,"10:05","2024-01-23","07:00",0
60244,티웨이항공,"22:35","2024-01-23","19:25",0
60245,티웨이항공,"10:55","2024-01-23","07:45",0
60246,이스타항공,"23:45","2024-01-23","20:55",0
60247,진에어,"00:25","2024-01-23","21:10",0
60248,에어서울,"23:30","2024-01-23","20:50",0
60249,아시아나항공,"21:50","2024-01-23","18:45",0
60250,베트남항공,"13:55","2024-01-23","10:45",0
60251,대한항공,"21:45","2024-01-23","18:30",0
60252,대한항공,"14:15","2024-01-23","11:10",0
60253,제주항공,"00:30","2024-01-23","21:20",0
60254,제주항공,"14:45","2024-01-23","11:40",0
60255,베트남항공,"21:45","2024-01-23","18:30",0
60256,비엣젯항공,"01:45","2024-01-24","22:40",0
60257,비엣젯항공,"09:20","2024-01-24","06:15",0
60258,티웨이항공,"23:35","2024-01-24","20:20",0
60259,이스타항공,"01:30","2024-01-24","22:50",0
60260,비엣젯항공,"10:05","2024-01-24","07:00",0
60261,티웨이항공,"22:35","2024-01-24","19:25",0
60262,한에어,"23:35","2024-01-24","20:20",0
60263,이스타항공,"23:45","2024-01-24","20:55",0
60264,진에어,"00:25","2024-01-24","21:10",0
60265,한에어,"01:45","2024-01-24","22:40",0
60266,한에어,"10:05","2024-01-24","07:00",0
60267,한에어,"09:20","2024-01-24","06:15",0
60268,한에어,"22:35","2024-01-24","19:25",0
60269,에어서울,"23:30","2024-01-24","20:50",0
60270,Apg Distribution System,"01:45","2024-01-24","22:40",0
60271,티웨이항공,"10:55","2024-01-24","07:45",0
60272,Apg Distribution System,"09:20","2024-01-24","06:15",0
60273,한에어,"10:55","2024-01-24","07:45",0
60274,Apg Distribution System,"10:05","2024-01-24","07:00",0
60275,아시아나항공,"21:50","2024-01-24","18:45",0
60276,베트남항공,"13:55","2024-01-24","10:45",0
60277,대한항공,"21:45","2024-01-24","18:30",0
60278,제주항공,"13:45","2024-01-24","10:40",0
60279,대한항공,"00:25","2024-01-24","21:10",0
60280,대한항공,"14:15","2024-01-24","11:10",0
60281,비엣젯항공,"01:45","2024-01-25","22:40",0
60282,비엣젯항공,"09:20","2024-01-25","06:15",0
60283,비엣젯항공,"10:05","2024-01-25","07:00",0
60284,티웨이항공,"23:35","2024-01-25","20:20",0
60285,에어서울,"23:30","2024-01-25","20:50",0
60286,티웨이항공,"10:55","2024-01-25","07:45",0
60287,티웨이항공,"22:35","2024-01-25","19:25",0
60288,이스타항공,"23:45","2024-01-25","20:55",0
60289,진에어,"00:25","2024-01-25","21:10",0
60290,제주항공,"14:45","2024-01-25","11:40",0
60291,베트남항공,"13:55","2024-01-25","10:45",0
60292,대한항공,"21:45","2024-01-25","18:30",0
60293,제주항공,"00:30","2024-01-25","21:20",0
60294,대한항공,"14:15","2024-01-25","11:10",0
60295,대한항공,"13:55","2024-01-25","10:45",0
60296,베트남항공,"21:45","2024-01-25","18:30",0
60297,비엣젯항공,"09:20","2024-01-26","06:15",0
60298,비엣젯항공,"01:45","2024-01-26","22:40",0
60299,비엣젯항공,"10:05","2024-01-26","07:00",0
60300,이스타항공,"23:45","2024-01-26","20:55",0
60301,티웨이항공,"22:35","2024-01-26","19:25",0
60302,티웨이항공,"23:35","2024-01-26","20:20",0
60303,제주항공,"00:30","2024-01-26","21:20",0
60304,진에어,"00:25","2024-01-26","21:10",0
60305,에어서울,"23:30","2024-01-26","20:50",0
60306,티웨이항공,"10:55","2024-01-26","07:45",0
60307,제주항공,"13:45","2024-01-26","10:40",0
60308,베트남항공,"13:55","2024-01-26","10:45",0
60309,대한항공,"21:45","2024-01-26","18:30",0
60310,아시아나항공,"21:50","2024-01-26","18:45",0
60311,대한항공,"14:15","2024-01-26","11:10",0
60312,대한항공,"13:55","2024-01-26","10:45",0
60313,베트남항공,"21:45","2024-01-26","18:30",0
60314,비엣젯항공,"01:45","2024-01-27","22:40",0
60315,이스타항공,"01:30","2024-01-27","22:50",0
60316,티웨이항공,"23:35","2024-01-27","20:20",0
60317,티웨이항공,"22:35","2024-01-27","19:25",0
60318,비엣젯항공,"09:20","2024-01-27","06:15",0
60319,이스타항공,"23:45","2024-01-27","20:55",0
60320,제주항공,"00:30","2024-01-27","21:20",0
60321,진에어,"00:25","2024-01-27","21:10",0
60322,비엣젯항공,"10:05","2024-01-27","07:00",0
60323,베트남항공,"13:55","2024-01-27","10:45",0
60324,에어서울,"23:30","2024-01-27","20:50",0
60325,티웨이항공,"10:55","2024-01-27","07:45",0
60326,아시아나항공,"21:50","2024-01-27","18:45",0
